method,params,scene,n_seeds,n_episodes,reach,reach_ci_lo,reach_ci_hi,crash,crash_ci_lo,crash_ci_hi,timeout,timeout_ci_lo,timeout_ci_hi,mean_reach_steps
tissf,"eps0=2.0,lam=1.5",slalom,2,3210,0.9199376947040498,0.9100394133204719,0.9288320481728389,0.07258566978193147,0.06411174963448964,0.08208139193166598,0.007476635514018692,0.005029440824011093,0.01110128571833001,694.9464950897393
issf,phi=0.1,sparse,2,4719,0.9385463021826658,0.9313308437112416,0.9450483259818515,0.05848696757787667,0.05214383502748916,0.0655483611283167,0.0029667302394575123,0.0017680690940331445,0.004973973662598795,727.8173402573944
issf,phi=0.2,sparse,2,4613,0.9382180793409929,0.9308989763053022,0.9448079138769385,0.05874701929330154,0.05232112634793197,0.06590723132411812,0.0030349013657056147,0.001808715383277523,0.005088120756823104,724.2488447319778
issf,phi=0.5,sparse,2,4587,0.9428820579899717,0.9357881067429163,0.949234804960245,0.053629823413996074,0.04747571040691508,0.06053097838844653,0.003488118596032265,0.0021482384351994835,0.005658957526429861,721.9787283236994
issf,phi=1.0,sparse,2,4197,0.9504407910412199,0.9434528019016628,0.9566049389091309,0.045508696688110556,0.03960801244027898,0.05224063046022934,0.004050512270669526,0.0025305202627799836,0.006477579447525684,709.1486588117323
issf,phi=1.5,sparse,2,3443,0.9395875689805402,0.9311287153100621,0.9470665577190204,0.04850421144350857,0.04181781283047348,0.05619701906664648,0.011908219575951205,0.008790255599852644,0.016114167046085016,659.3493044822256
issf,phi=2.0,sparse,2,3446,0.9326755658734764,0.9238179259102406,0.9405695868381707,0.05629715612304121,0.049083780233765945,0.06449871004636751,0.011027278003482298,0.008044655901255245,0.015098899443430725,670.8578095830741
issf,phi=3.0,sparse,2,3062,0.9248856956237753,0.9150080165956413,0.9336985832495692,0.05878510777269758,0.05099319213555743,0.06768273684916247,0.016329196603527107,0.012408198889250759,0.021462305053288222,641.3241525423729
rl_A,,sparse,2,4828,0.93993371996686,0.9328749937737978,0.9462928994783321,0.05758077879038939,0.05135470194886355,0.06451035455464434,0.0024855012427506215,0.0014224007192834636,0.004339708700859779,746.6046716615249
rl_A_i50,,sparse,2,4814,0.936643124221022,0.9294073357402792,0.9431825808730026,0.06211051100955546,0.05563538209185056,0.06928395938255574,0.0012463647694225177,0.0005713336142166422,0.0027167778089567554,736.5371479263695
rl_B,,sparse,2,4938,0.9418793033616849,0.9350033553899361,0.9480682509521207,0.056500607533414335,0.05039876346844115,0.06329197077119939,0.0016200891049007696,0.0008211503530638183,0.0031938710915733392,741.8662653192862
