method,params,scene,n_seeds,n_episodes,reach,reach_ci_lo,reach_ci_hi,crash,crash_ci_lo,crash_ci_hi,timeout,timeout_ci_lo,timeout_ci_hi,mean_reach_steps
rl_B_i50,,narrow,2,4432,0.9347924187725631,0.9271404682672364,0.941691277212584,0.06182310469314079,0.055105048176672805,0.06930011543421898,0.003384476534296029,0.0020521407484825386,0.005576986495375764,699.3705044653633
rl_C,,narrow,2,4439,0.9403018697904933,0.9329438570010687,0.9468984493282858,0.05564316287452129,0.04927582743380569,0.06277894399896383,0.004054967334985357,0.0025665350907569597,0.0064010589823695705,706.0917585050312
rl_C_i50,,narrow,2,4489,0.9414123412786812,0.9341572083958799,0.9479126157439252,0.05524615727333482,0.0489351758071382,0.0623177114524527,0.003341501447983961,0.0020260702984583445,0.005506267365081809,709.1597255087553
rl_D,,narrow,2,4299,0.947662247034194,0.9405961216292584,0.9539290219409813,0.047685508257734356,0.04170914915705874,0.05446952495448652,0.0046522447080716445,0.003013674301401978,0.007175313366654405,708.2373588610702
rl_D_i50,,narrow,2,4347,0.9434092477570738,0.9361407663919202,0.9498947077563457,0.05268000920174833,0.04642518024873668,0.0597247655456586,0.003910743041177824,0.00244315129767121,0.006254384369910897,714.0363326018045
tissf,"eps0=1.0,lam=0.5",narrow,2,4295,0.949708963911525,0.9427616148608662,0.9558525606416692,0.04586728754365541,0.04000627384582903,0.052539960004704095,0.0044237485448195574,0.0028339150267933724,0.00689931171038159,706.3824466781074
tissf,"eps0=1.0,lam=1.5",narrow,2,4271,0.9512994614844299,0.9444287624946908,0.9573590370813216,0.042847108405525636,0.03717322404798744,0.04934263656308174,0.005853430110044486,0.003967988328239989,0.008627004665184608,693.4250553777997
tissf,"eps0=2.0,lam=0.5",narrow,2,4398,0.9458844929513415,0.938800311488369,0.9521904047609391,0.04911323328785812,0.04311047620495342,0.05590299124921396,0.0050022737608003635,0.0033057982418986166,0.007562743688369842,708.6682692307693
tissf,"eps0=2.0,lam=1.5",narrow,2,4395,0.9410693970420932,0.9337142079856509,0.9476541959141394,0.05392491467576792,0.047628227759250845,0.061000734920378254,0.005005688282138794,0.003308056289822864,0.007567897961405459,695.0771276595744
issf,phi=0.1,open,2,6162,0.9651087309315157,0.9602293579693825,0.9694085360692838,0.034891269068484256,0.030591463930716264,0.03977064203061753,0.0,0.0,0.0006230455222852302,765.5443080544812
issf,phi=0.2,open,2,6162,0.9651087309315157,0.9602293579693825,0.9694085360692838,0.034891269068484256,0.030591463930716264,0.03977064203061753,0.0,0.0,0.0006230455222852302,765.5443080544812
issf,phi=0.5,open,2,6162,0.9651087309315157,0.9602293579693825,0.9694085360692838,0.034891269068484256,0.030591463930716264,0.03977064203061753,0.0,0.0,0.0006230455222852302,765.5443080544812
issf,phi=1.0,open,2,6162,0.9651087309315157,0.9602293579693825,0.9694085360692838,0.034891269068484256,0.030591463930716264,0.03977064203061753,0.0,0.0,0.0006230455222852302,765.5443080544812
issf,phi=1.5,open,2,6162,0.9651087309315157,0.9602293579693825,0.9694085360692838,0.034891269068484256,0.030591463930716264,0.03977064203061753,0.0,0.0,0.0006230455222852302,765.5443080544812
issf,phi=2.0,open,2,6162,0.9651087309315157,0.9602293579693825,0.9694085360692838,0.034891269068484256,0.030591463930716264,0.03977064203061753,0.0,0.0,0.0006230455222852302,765.5443080544812
issf,phi=3.0,open,2,6162,0.9651087309315157,0.9602293579693825,0.9694085360692838,0.034891269068484256,0.030591463930716264,0.03977064203061753,0.0,0.0,0.0006230455222852302,765.5443080544812
rl_A,,open,2,6194,0.9573781078463028,0.9520574851527236,0.9621317383989075,0.042621892153697126,0.03786826160109236,0.04794251484727638,0.0,0.0,0.0006198286835855889,763.9274873524452
rl_A_i50,,open,2,6194,0.9573781078463028,0.9520574851527236,0.9621317383989075,0.042621892153697126,0.03786826160109236,0.04794251484727638,0.0,0.0,0.0006198286835855889,763.9274873524452
rl_B,,open,2,6229,0.9561727404077701,0.9508015890187365,0.9609815694045418,0.04382725959222989,0.039018430595458134,0.04919841098126346,0.0,5.421010862427522e-20,0.0006163480875239953,766.5329079919409
rl_B_i50,,open,2,6229,0.9561727404077701,0.9508015890187365,0.9609815694045418,0.04382725959222989,0.039018430595458134,0.04919841098126346,0.0,5.421010862427522e-20,0.0006163480875239953,766.5329079919409
rl_C,,open,2,6141,0.9622211366226999,0.9571562258662981,0.9667081093836131,0.03761602344894968,0.03313901089277434,0.04267117760744672,0.00016283992835043154,2.87450848157595e-05,0.0009219059457982761,767.2854966999492
rl_C_i50,,open,2,6141,0.9622211366226999,0.9571562258662981,0.9667081093836131,0.03761602344894968,0.03313901089277434,0.04267117760744672,0.00016283992835043154,2.87450848157595e-05,0.0009219059457982761,767.2854966999492
rl_D,,open,2,6155,0.9590576766856215,0.9538140873199951,0.9637285882376941,0.040942323314378554,0.03627141176230579,0.04618591268000491,0.0,0.0,0.0006237536617275559,771.0083008639675
rl_D_i50,,open,2,6155,0.9590576766856215,0.9538140873199951,0.9637285882376941,0.040942323314378554,0.03627141176230579,0.04618591268000491,0.0,0.0,0.0006237536617275559,771.0083008639675
tissf,"eps0=1.0,lam=0.5",open,2,6162,0.9651087309315157,0.9602293579693825,0.9694085360692838,0.034891269068484256,0.030591463930716264,0.03977064203061753,0.0,0.0,0.0006230455222852302,765.5443080544812
tissf,"eps0=1.0,lam=1.5",open,2,6162,0.9651087309315157,0.9602293579693825,0.9694085360692838,0.034891269068484256,0.030591463930716264,0.03977064203061753,0.0,0.0,0.0006230455222852302,765.5443080544812
tissf,"eps0=2.0,lam=0.5",open,2,6162,0.9651087309315157,0.9602293579693825,0.9694085360692838,0.034891269068484256,0.030591463930716264,0.03977064203061753,0.0,0.0,0.0006230455222852302,765.5443080544812
tissf,"eps0=2.0,lam=1.5",open,2,6162,0.9651087309315157,0.9602293579693825,0.9694085360692838,0.034891269068484256,0.030591463930716264,0.03977064203061753,0.0,0.0,0.0006230455222852302,765.5443080544812
issf,phi=0.1,slalom,2,3200,0.88375,0.8721813801679876,0.8943983408768981,0.108125,0.09783147285120182,0.1193582908374899,0.008125,0.005550762008785236,0.011878813785473757,697.2743988684583
issf,phi=0.2,slalom,2,3149,0.8990155604953953,0.88800056621615,0.9090581886543768,0.09082248332804065,0.08127808595134207,0.101364010625917,0.010161956176563989,0.007207422229422496,0.014310182714638124,686.3758389261745
issf,phi=0.5,slalom,2,2991,0.925777331995988,0.9158269172452095,0.9346354244025091,0.06452691407556001,0.05626835582787398,0.07390266891012885,0.009695753928452023,0.006759284492664254,0.013890088081831842,674.3983387504514
issf,phi=1.0,slalom,2,2621,0.9385730637161389,0.928722967833515,0.9471394080142314,0.04654711942006868,0.03912413454917865,0.05529741073568731,0.014879816863792446,0.010903935362550226,0.020275698486593278,655.5073170731707
issf,phi=1.5,slalom,2,2141,0.91359177954227,0.900937120384122,0.924764880173868,0.058851004203643156,0.049649728805302086,0.06963255292589897,0.027557216254086876,0.021423913039873392,0.03538289264684959,606.2448875255624
